dates,percentapple
Jan '12,29.5
Feb '12,30.2
Mar  '12,30.7
Apr '12,31.4
May  '12,31.9
Jun  '12,32.4
Jul '12,33.4
Aug '12,34.3
Sep '12,34.3
Oct '12,34.3
Nov '12,35
Dec '12,36.3
Jan '13,37.8
Feb '13,38.9
Mar  '13,39
Apr '13,39.2
 May  '13,39.2
Jun  '13,39.9
Jul '13,40.4
Aug '13,40.4
Sep '13,40.6
Oct '13,40.6
Nov '13,41.2
Dec '13,41.2
Jan '14,41.2
Feb '14,41.3
Mar  '14,41.4
Apr '14,41.4
May  '14,41.9
Jun  '14,42.1
Jul '14,42.4
Aug '14,42
Sep '14,41.7
Oct '14,41.9
Nov '14,41.8
Dec '14,41.6
Jan '15,41.3
Feb '15,41.7
Mar  '15,42.6
Apr '15,43.1
 May  '15,43.5
Jun  '15,44.1
Jul '15,44.2
Aug '15,44.1
Sep '15,43.6
Oct '15,43.3
Nov '15,43.1
Dec '15,42.9
