date,android,apple,microsoft,blackberry
Jan '12,48.6,29.5,4.4,15.2
Feb '12,50.1,30.2,3.9,13.4
Mar '12,51,30.7,3.9,12.3
Apr '12,50.8,31.4,4,11.6
May '12,50.9,31.9,4,11.4
Jun '12,51.6,32.4,3.8,10.7
Jul '12,52.2,33.4,3.6,9.5
Aug '12,52.6,34.3,3.6,8.3
Sep '12,52.5,34.3,3.6,8.4
Oct '12,53.6,34.3,3.2,7.8
Nov '12,53.7,35,3,7.3
Dec '12,53.4,36.3,2.9,6.4
Jan '13,52.3,37.8,3.1,5.9
Feb '13,51.7,38.9,3.2,5.4
Mar '13,52,39,3,5.2
Apr '13,52,39.2,3,5.1
May '13,52.4,39.2,3,4.8
Jun '13,52,39.9,3.1,4.4
Jul '13,51.8,40.4,3,4.3
Aug '13,51.6,40.4,3.2,4
Sep '13,51.8,40.6,3.3,3.8
Oct '13,52.2,40.6,3.2,3.6
Nov '13,51.9,41.2,3.1,3.5
Dec '13,51.5,41.2,3.1,3.4
Jan '14,51.7,41.2,3.2,3.1
Feb '14,52.1,41.3,3.4,2.9
Mar '14,52.2,41.4,3.3,2.7
Apr '14,52.5,41.4,3.3,2.5
May '14,52.1,41.9,3.4,2.3
Jun '14,51.9,42.1,3.4,2.4
Jul '14,51.5,42.4,3.6,2.3
Aug '14,52,42,3.5,2.3
Sep '14,52.1,41.7,3.6,2.3
Oct '14,52.3,41.9,3.5,2.1
Nov '14,52.6,41.8,3.4,2
Dec '14,53.1,41.6,3.4,1.8
Jan '15,53.2,41.3,3.6,1.8
Feb '15,52.8,41.7,3.5,1.8
Mar '15,52.4,42.6,3.3,1.6
Apr '15,52.2,43.1,3,1.5
May '15,52.1,43.5,3,1.3
Jun '15,51.6,44.1,2.9,1.2
Jul '15,51.4,44.2,2.9,1.3
Aug '15,51.7,44.1,2.9,1.2
Sep '15,52.3,43.6,2.9,1.2
Oct '15,52.9,43.3,2.7,1
Nov '15,53.1,43.1,2.8,1
Dec '15,53.3,42.9,2.9,0.9
